データ,,,1,名詞,一般,*,*,*,*,データ,,データ
画像データ,,,1,名詞,一般,*,*,*,*,画像データ,,画像データ
診断,,,1,名詞,一般,*,*,*,*,診断,,診断
特徴,,,1,名詞,一般,*,*,*,*,特徴,,特徴
請求項,,,1,名詞,一般,*,*,*,*,請求項,,請求項
情報,,,1,名詞,一般,*,*,*,*,情報,,情報
血管,,,1,名詞,一般,*,*,*,*,血管,,血管
処理,,,1,名詞,一般,*,*,*,*,処理,,処理
ステップ,,,1,名詞,一般,*,*,*,*,ステップ,,ステップ
用,,,1,名詞,一般,*,*,*,*,用,,用
画像処理装置,,,1,名詞,一般,*,*,*,*,画像処理装置,,画像処理装置
値,,,1,名詞,一般,*,*,*,*,値,,値
対象者,,,1,名詞,一般,*,*,*,*,対象者,,対象者
実施形態,,,1,名詞,一般,*,*,*,*,実施形態,,実施形態
特徴量,,,1,名詞,一般,*,*,*,*,特徴量,,特徴量
前記,,,1,名詞,一般,*,*,*,*,前記,,前記
複数,,,1,名詞,一般,*,*,*,*,複数,,複数
血管情報,,,1,名詞,一般,*,*,*,*,血管情報,,血管情報
患者,,,1,名詞,一般,*,*,*,*,患者,,患者
血管パラメータ,,,1,名詞,一般,*,*,*,*,血管パラメータ,,血管パラメータ
舌画像,,,1,名詞,一般,*,*,*,*,舌画像,,舌画像
方法,,,1,名詞,一般,*,*,*,*,方法,,方法
視鏡画像,,,1,名詞,一般,*,*,*,*,視鏡画像,,視鏡画像
分類,,,1,名詞,一般,*,*,*,*,分類,,分類
者,,,1,名詞,一般,*,*,*,*,者,,者
入力画像,,,1,名詞,一般,*,*,*,*,入力画像,,入力画像
内視鏡画像,,,1,名詞,一般,*,*,*,*,内視鏡画像,,内視鏡画像
対象,,,1,名詞,一般,*,*,*,*,対象,,対象
データ点,,,1,名詞,一般,*,*,*,*,データ点,,データ点
システム,,,1,名詞,一般,*,*,*,*,システム,,システム
化,,,1,名詞,一般,*,*,*,*,化,,化
画像情報,,,1,名詞,一般,*,*,*,*,画像情報,,画像情報
入力,,,1,名詞,一般,*,*,*,*,入力,,入力
観察対象,,,1,名詞,一般,*,*,*,*,観察対象,,観察対象
前記画像,,,1,名詞,一般,*,*,*,*,前記画像,,前記画像
画像処理,,,1,名詞,一般,*,*,*,*,画像処理,,画像処理
位置,,,1,名詞,一般,*,*,*,*,位置,,位置
組織,,,1,名詞,一般,*,*,*,*,組織,,組織
信号,,,1,名詞,一般,*,*,*,*,信号,,信号
度,,,1,名詞,一般,*,*,*,*,度,,度
Ｃ,,,1,名詞,一般,*,*,*,*,Ｃ,,Ｃ
学,,,1,名詞,一般,*,*,*,*,学,,学
記憶部,,,1,名詞,一般,*,*,*,*,記憶部,,記憶部
学習,,,1,名詞,一般,*,*,*,*,学習,,学習
機械学習,,,1,名詞,一般,*,*,*,*,機械学習,,機械学習
細胞,,,1,名詞,一般,*,*,*,*,細胞,,細胞
領域,,,1,名詞,一般,*,*,*,*,領域,,領域
検査画像データ,,,1,名詞,一般,*,*,*,*,検査画像データ,,検査画像データ
Ｄ,,,1,名詞,一般,*,*,*,*,Ｄ,,Ｄ
性,,,1,名詞,一般,*,*,*,*,性,,性
発明,,,1,名詞,一般,*,*,*,*,発明,,発明
画像取得部,,,1,名詞,一般,*,*,*,*,画像取得部,,画像取得部
分類器,,,1,名詞,一般,*,*,*,*,分類器,,分類器
Ａ,,,1,名詞,一般,*,*,*,*,Ａ,,Ａ
撮影画像,,,1,名詞,一般,*,*,*,*,撮影画像,,撮影画像
断面画像,,,1,名詞,一般,*,*,*,*,断面画像,,断面画像
部,,,1,名詞,一般,*,*,*,*,部,,部
パラメータ,,,1,名詞,一般,*,*,*,*,パラメータ,,パラメータ
対象画像,,,1,名詞,一般,*,*,*,*,対象画像,,対象画像
画像信号,,,1,名詞,一般,*,*,*,*,画像信号,,画像信号
特定,,,1,名詞,一般,*,*,*,*,特定,,特定
イベント予測用リスクスコア,,,1,名詞,一般,*,*,*,*,イベント予測用リスクスコア,,イベント予測用リスクスコア
１つ,,,1,名詞,一般,*,*,*,*,１つ,,１つ
特徴ベクトル,,,1,名詞,一般,*,*,*,*,特徴ベクトル,,特徴ベクトル
